accessionNo,ticker,cik,companyName,filedAt,periodOfReport,linkToFilingDetails
0000320193-23-000113,AAPL,320193,Apple Inc.,2023-12-01T18:32:18-05:00,2023-11-29,https://www.sec.gov/Archives/edgar/data/320193/000032019323000113/xslF345X05/wk-form4_1701473530.xml
0000320193-23-000111,AAPL,320193,Apple Inc.,2023-11-20T18:31:21-05:00,2023-11-16,https://www.sec.gov/Archives/edgar/data/320193/000032019323000111/xslF345X05/wk-form4_1700523067.xml
0000320193-23-000109,AAPL,320193,Apple Inc.,2023-11-14T18:31:09-05:00,2023-11-10,https://www.sec.gov/Archives/edgar/data/320193/000032019323000109/xslF345X05/wk-form4_1700004649.xml
0000320193-23-000099,AAPL,320193,Apple Inc.,2023-10-17T18:30:48-04:00,2023-10-15,https://www.sec.gov/Archives/edgar/data/320193/000032019323000099/xslF345X05/wk-form4_1697581839.xml
0000320193-23-000097,AAPL,320193,Apple Inc.,2023-10-10T18:31:19-04:00,2023-10-06,https://www.sec.gov/Archives/edgar/data/320193/000032019323000097/xslF345X05/wk-form4_1696977071.xml
0000320193-23-000096,AAPL,320193,Apple Inc.,2023-10-10T18:30:21-04:00,2023-10-06,https://www.sec.gov/Archives/edgar/data/320193/000032019323000096/xslF345X05/wk-form4_1696977012.xml
0000320193-23-000093,AAPL,320193,Apple Inc.,2023-10-03T21:09:17-04:00,2023-10-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000093/xslF345X05/wk-form4_1696381746.xml
0000320193-23-000092,AAPL,320193,Apple Inc.,2023-10-03T21:08:18-04:00,2023-10-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000092/xslF345X05/wk-form4_1696381688.xml
0000320193-23-000091,AAPL,320193,Apple Inc.,2023-10-03T21:06:55-04:00,2023-10-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000091/xslF345X05/wk-form4_1696381604.xml
0000320193-23-000090,AAPL,320193,Apple Inc.,2023-10-03T21:05:22-04:00,2023-10-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000090/xslF345X05/wk-form4_1696381514.xml
0000320193-23-000089,AAPL,320193,Apple Inc.,2023-10-03T21:04:27-04:00,2023-10-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000089/xslF345X05/wk-form4_1696381457.xml
0000320193-23-000088,AAPL,320193,Apple Inc.,2023-10-03T21:02:35-04:00,2023-10-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000088/xslF345X05/wk-form4_1696381345.xml
0000320193-23-000081,AAPL,320193,Apple Inc.,2023-09-19T18:30:26-04:00,2023-08-08,https://www.sec.gov/Archives/edgar/data/320193/000032019323000081/xslF345X05/wk-form4_1695162617.xml
0000320193-23-000079,AAPL,320193,Apple Inc.,2023-08-08T18:30:28-04:00,2023-08-05,https://www.sec.gov/Archives/edgar/data/320193/000032019323000079/xslF345X05/wk-form4_1691533817.xml
0000320193-23-000070,AAPL,320193,Apple Inc.,2023-05-18T18:32:21-04:00,2023-05-16,https://www.sec.gov/Archives/edgar/data/320193/000032019323000070/xslF345X04/wf-form4_168444912415136.xml
0000320193-23-000068,AAPL,320193,Apple Inc.,2023-05-12T18:30:34-04:00,2023-05-10,https://www.sec.gov/Archives/edgar/data/320193/000032019323000068/xslF345X04/wf-form4_168393061463065.xml
0000320193-23-000066,AAPL,320193,Apple Inc.,2023-05-10T18:30:22-04:00,2023-05-08,https://www.sec.gov/Archives/edgar/data/320193/000032019323000066/xslF345X04/wf-form4_168375780902324.xml
0000320193-23-000057,AAPL,320193,Apple Inc.,2023-04-18T18:31:39-04:00,2023-04-15,https://www.sec.gov/Archives/edgar/data/320193/000032019323000057/xslF345X04/wf-form4_168185708431590.xml
0000320193-23-000055,AAPL,320193,Apple Inc.,2023-04-17T18:31:10-04:00,2023-04-13,https://www.sec.gov/Archives/edgar/data/320193/000032019323000055/xslF345X04/wf-form4_168177065948283.xml
0000320193-23-000053,AAPL,320193,Apple Inc.,2023-04-10T18:30:24-04:00,2023-04-06,https://www.sec.gov/Archives/edgar/data/320193/000032019323000053/xslF345X04/wf-form4_168116581286812.xml
0000320193-23-000051,AAPL,320193,Apple Inc.,2023-04-04T18:34:40-04:00,2023-04-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000051/xslF345X04/wf-form4_168064766485466.xml
0000320193-23-000050,AAPL,320193,Apple Inc.,2023-04-04T18:33:48-04:00,2023-04-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000050/xslF345X04/wf-form4_168064761527635.xml
0000320193-23-000049,AAPL,320193,Apple Inc.,2023-04-04T18:32:43-04:00,2023-04-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000049/xslF345X04/wf-form4_168064754806371.xml
0000320193-23-000048,AAPL,320193,Apple Inc.,2023-04-04T18:31:55-04:00,2023-04-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000048/xslF345X04/wf-form4_168064750462974.xml
0000320193-23-000047,AAPL,320193,Apple Inc.,2023-04-04T18:31:03-04:00,2023-04-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000047/xslF345X04/wf-form4_168064745080973.xml
0000320193-23-000040,AAPL,320193,Apple Inc.,2023-03-24T18:31:12-04:00,2023-03-22,https://www.sec.gov/Archives/edgar/data/320193/000032019323000040/xslF345X04/wf-form4_167969705479427.xml
0000320193-23-000038,AAPL,320193,Apple Inc.,2023-03-14T18:35:39-04:00,2023-03-10,https://www.sec.gov/Archives/edgar/data/320193/000032019323000038/xslF345X03/wf-form4_167883332720098.xml
0000320193-23-000037,AAPL,320193,Apple Inc.,2023-03-14T18:35:04-04:00,2023-03-10,https://www.sec.gov/Archives/edgar/data/320193/000032019323000037/xslF345X03/wf-form4_167883328933055.xml
0000320193-23-000036,AAPL,320193,Apple Inc.,2023-03-14T18:34:23-04:00,2023-03-10,https://www.sec.gov/Archives/edgar/data/320193/000032019323000036/xslF345X03/wf-form4_167883325244111.xml
0000320193-23-000035,AAPL,320193,Apple Inc.,2023-03-14T18:33:41-04:00,2023-03-10,https://www.sec.gov/Archives/edgar/data/320193/000032019323000035/xslF345X03/wf-form4_167883321069337.xml
0000320193-23-000034,AAPL,320193,Apple Inc.,2023-03-14T18:33:01-04:00,2023-03-10,https://www.sec.gov/Archives/edgar/data/320193/000032019323000034/xslF345X03/wf-form4_167883316975236.xml
0000320193-23-000033,AAPL,320193,Apple Inc.,2023-03-14T18:31:58-04:00,2023-03-10,https://www.sec.gov/Archives/edgar/data/320193/000032019323000033/xslF345X03/wf-form4_167883310220723.xml
0000320193-23-000032,AAPL,320193,Apple Inc.,2023-03-14T18:31:21-04:00,2023-03-10,https://www.sec.gov/Archives/edgar/data/320193/000032019323000032/xslF345X03/wf-form4_167883306952487.xml
0000320193-23-000031,AAPL,320193,Apple Inc.,2023-03-14T18:30:52-04:00,2023-03-10,https://www.sec.gov/Archives/edgar/data/320193/000032019323000031/xslF345X03/wf-form4_167883304133328.xml
0000320193-23-000022,AAPL,320193,Apple Inc.,2023-02-03T18:38:12-05:00,2023-02-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000022/xslF345X03/wf-form4_167546747536649.xml
0000320193-23-000021,AAPL,320193,Apple Inc.,2023-02-03T18:37:19-05:00,2023-02-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000021/xslF345X03/wf-form4_167546742335512.xml
0000320193-23-000020,AAPL,320193,Apple Inc.,2023-02-03T18:36:23-05:00,2023-02-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000020/xslF345X03/wf-form4_167546736542524.xml
0000320193-23-000019,AAPL,320193,Apple Inc.,2023-02-03T18:35:24-05:00,2023-02-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000019/xslF345X03/wf-form4_167546729886985.xml
0000320193-23-000018,AAPL,320193,Apple Inc.,2023-02-03T18:34:25-05:00,2023-02-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000018/xslF345X03/wf-form4_167546724839309.xml
0000320193-23-000017,AAPL,320193,Apple Inc.,2023-02-03T18:33:10-05:00,2023-02-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000017/xslF345X03/wf-form4_167546717269434.xml
0000320193-23-000016,AAPL,320193,Apple Inc.,2023-02-03T18:32:10-05:00,2023-02-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000016/xslF345X03/wf-form4_167546711444862.xml
0000320193-23-000015,AAPL,320193,Apple Inc.,2023-02-03T18:31:15-05:00,2023-02-01,https://www.sec.gov/Archives/edgar/data/320193/000032019323000015/xslF345X03/wf-form4_167546705890329.xml
0000320193-22-000113,AAPL,320193,Apple Inc.,2022-11-23T18:30:27-05:00,2022-11-22,https://www.sec.gov/Archives/edgar/data/320193/000032019322000113/xslF345X03/wf-form4_166924620985339.xml
0000320193-22-000111,AAPL,320193,Apple Inc.,2022-11-01T18:30:34-04:00,2022-10-28,https://www.sec.gov/Archives/edgar/data/320193/000032019322000111/xslF345X03/wf-form4_166734181374173.xml
0000320193-22-000102,AAPL,320193,Apple Inc.,2022-10-18T18:33:15-04:00,2022-10-15,https://www.sec.gov/Archives/edgar/data/320193/000032019322000102/xslF345X03/wf-form4_166613234346671.xml
0000320193-22-000101,AAPL,320193,Apple Inc.,2022-10-18T18:31:41-04:00,2022-10-15,https://www.sec.gov/Archives/edgar/data/320193/000032019322000101/xslF345X03/wf-form4_166613226881196.xml
0000320193-22-000097,AAPL,320193,Apple Inc.,2022-10-04T22:05:07-04:00,2022-10-01,https://www.sec.gov/Archives/edgar/data/320193/000032019322000097/xslF345X03/wf-form4_166493494107053.xml
0000320193-22-000095,AAPL,320193,Apple Inc.,2022-10-04T22:02:25-04:00,2022-10-01,https://www.sec.gov/Archives/edgar/data/320193/000032019322000095/xslF345X03/wf-form4_166493432440801.xml
0000320193-22-000096,AAPL,320193,Apple Inc.,2022-10-04T21:57:57-04:00,2022-10-01,https://www.sec.gov/Archives/edgar/data/320193/000032019322000096/xslF345X03/wf-form4_166493485929155.xml
0000320193-22-000098,AAPL,320193,Apple Inc.,2022-10-04T21:57:10-04:00,2022-10-01,https://www.sec.gov/Archives/edgar/data/320193/000032019322000098/xslF345X03/wf-form4_166493500034922.xml
0000320193-22-000090,AAPL,320193,Apple Inc.,2022-09-27T21:51:33-04:00,2022-09-25,https://www.sec.gov/Archives/edgar/data/320193/000032019322000090/xslF345X03/wf-form4_166432987613616.xml
0000320193-22-000089,AAPL,320193,Apple Inc.,2022-09-27T21:50:27-04:00,2022-09-25,https://www.sec.gov/Archives/edgar/data/320193/000032019322000089/xslF345X03/wf-form4_166432981128707.xml
0000320193-22-000088,AAPL,320193,Apple Inc.,2022-09-27T21:49:11-04:00,2022-09-25,https://www.sec.gov/Archives/edgar/data/320193/000032019322000088/xslF345X03/wf-form4_166432973592639.xml
0000320193-22-000087,AAPL,320193,Apple Inc.,2022-09-27T21:48:06-04:00,2022-09-25,https://www.sec.gov/Archives/edgar/data/320193/000032019322000087/xslF345X03/wf-form4_166432966938808.xml
0000320193-22-000086,AAPL,320193,Apple Inc.,2022-09-27T21:46:50-04:00,2022-09-25,https://www.sec.gov/Archives/edgar/data/320193/000032019322000086/xslF345X03/wf-form4_166432958917508.xml
0000320193-22-000085,AAPL,320193,Apple Inc.,2022-09-27T21:45:49-04:00,2022-09-25,https://www.sec.gov/Archives/edgar/data/320193/000032019322000085/xslF345X03/wf-form4_166432952647630.xml
0000320193-22-000078,AAPL,320193,Apple Inc.,2022-08-22T18:43:18-04:00,2022-08-17,https://www.sec.gov/Archives/edgar/data/320193/000032019322000078/xslF345X03/wf-form4a_166120817922787.xml
0000320193-22-000076,AAPL,320193,Apple Inc.,2022-08-19T18:30:27-04:00,2022-08-17,https://www.sec.gov/Archives/edgar/data/320193/000032019322000076/xslF345X03/wf-form4_166094821148314.xml
0000320193-22-000074,AAPL,320193,Apple Inc.,2022-08-09T18:31:05-04:00,2022-08-05,https://www.sec.gov/Archives/edgar/data/320193/000032019322000074/xslF345X03/wf-form4_166008422355199.xml
0000320193-22-000072,AAPL,320193,Apple Inc.,2022-08-05T18:30:49-04:00,2022-08-03,https://www.sec.gov/Archives/edgar/data/320193/000032019322000072/xslF345X03/wf-form4_165973862846098.xml
0000320193-22-000063,AAPL,320193,Apple Inc.,2022-05-13T18:31:28-04:00,2022-05-06,https://www.sec.gov/Archives/edgar/data/320193/000032019322000063/xslF345X03/wf-form4_165248105838188.xml
0000320193-22-000061,AAPL,320193,Apple Inc.,2022-05-06T18:30:57-04:00,2022-05-04,https://www.sec.gov/Archives/edgar/data/320193/000032019322000061/xslF345X03/wf-form4_165187623819106.xml
0000320193-22-000053,AAPL,320193,Apple Inc.,2022-04-19T18:31:54-04:00,2022-04-15,https://www.sec.gov/Archives/edgar/data/320193/000032019322000053/xslF345X03/wf-form4_165040749395911.xml
0000320193-22-000052,AAPL,320193,Apple Inc.,2022-04-19T18:30:44-04:00,2022-04-15,https://www.sec.gov/Archives/edgar/data/320193/000032019322000052/xslF345X03/wf-form4_165040742689204.xml
0000320193-22-000049,AAPL,320193,Apple Inc.,2022-04-05T18:33:35-04:00,2022-04-01,https://www.sec.gov/Archives/edgar/data/320193/000032019322000049/xslF345X03/wf-form4_164919799612317.xml
0000320193-22-000048,AAPL,320193,Apple Inc.,2022-04-05T18:32:41-04:00,2022-04-01,https://www.sec.gov/Archives/edgar/data/320193/000032019322000048/xslF345X03/wf-form4_164919793500496.xml
0000320193-22-000047,AAPL,320193,Apple Inc.,2022-04-05T18:31:42-04:00,2022-04-01,https://www.sec.gov/Archives/edgar/data/320193/000032019322000047/xslF345X03/wf-form4_164919788707106.xml
0000320193-22-000046,AAPL,320193,Apple Inc.,2022-04-05T18:30:46-04:00,2022-04-01,https://www.sec.gov/Archives/edgar/data/320193/000032019322000046/xslF345X03/wf-form4_164919783103450.xml
0000320193-22-000041,AAPL,320193,Apple Inc.,2022-03-08T18:37:38-05:00,2022-03-04,https://www.sec.gov/Archives/edgar/data/320193/000032019322000041/xslF345X03/wf-form4_164678264350913.xml
0000320193-22-000040,AAPL,320193,Apple Inc.,2022-03-08T18:36:47-05:00,2022-03-04,https://www.sec.gov/Archives/edgar/data/320193/000032019322000040/xslF345X03/wf-form4_164678259356672.xml
0000320193-22-000039,AAPL,320193,Apple Inc.,2022-03-08T18:35:52-05:00,2022-03-04,https://www.sec.gov/Archives/edgar/data/320193/000032019322000039/xslF345X03/wf-form4_164678253465583.xml
0000320193-22-000038,AAPL,320193,Apple Inc.,2022-03-08T18:35:01-05:00,2022-03-04,https://www.sec.gov/Archives/edgar/data/320193/000032019322000038/xslF345X03/wf-form4_164678248157775.xml
0000320193-22-000037,AAPL,320193,Apple Inc.,2022-03-08T18:34:04-05:00,2022-03-04,https://www.sec.gov/Archives/edgar/data/320193/000032019322000037/xslF345X03/wf-form4_164678242279764.xml
0000320193-22-000036,AAPL,320193,Apple Inc.,2022-03-08T18:33:09-05:00,2022-03-04,https://www.sec.gov/Archives/edgar/data/320193/000032019322000036/xslF345X03/wf-form4_164678236531567.xml
0000320193-22-000035,AAPL,320193,Apple Inc.,2022-03-08T18:32:05-05:00,2022-03-04,https://www.sec.gov/Archives/edgar/data/320193/000032019322000035/xslF345X03/wf-form4_164678229722183.xml
